eventID,type,parentEventID,eventRemarks,eventDate,year,month,day,decimalLatitude,decimalLongitude,maximumDepthInMeters,minimumDepthInMeters,footprintWKT,coordinateUncertaintyInMeters,geodeticDatum
IYS,project,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WGS84
IYS:GoA2019,cruise,IYS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WGS84
IYS:GoA2019:Stn1,sampling station,IYS:GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WGS84
IYS:GoA2019:Stn2,sampling station,IYS:GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WGS84
IYS:GoA2019:Stn3,sampling station,IYS:GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WGS84
IYS:GoA2019:Stn4,sampling station,IYS:GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WGS84
IYS:GoA2019:Stn5,sampling station,IYS:GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WGS84
IYS:GoA2019:Stn6,sampling station,IYS:GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WGS84
IYS:GoA2019:Stn7,sampling station,IYS:GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WGS84
IYS:GoA2019:Stn8,sampling station,IYS:GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WGS84
IYS:GoA2019:Stn9,sampling station,IYS:GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WGS84
IYS:GoA2019:Stn10,sampling station,IYS:GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WGS84
IYS:GoA2019:Stn11,sampling station,IYS:GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WGS84
IYS:GoA2019:Stn12,sampling station,IYS:GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WGS84
IYS:GoA2019:Stn13,sampling station,IYS:GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WGS84
IYS:GoA2019:Stn14,sampling station,IYS:GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WGS84
IYS:GoA2019:Stn15,sampling station,IYS:GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WGS84
IYS:GoA2019:Stn16,sampling station,IYS:GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WGS84
IYS:GoA2019:Stn17,sampling station,IYS:GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WGS84
IYS:GoA2019:Stn18,sampling station,IYS:GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WGS84
IYS:GoA2019:Stn19,sampling station,IYS:GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WGS84
IYS:GoA2019:Stn20,sampling station,IYS:GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WGS84
IYS:GoA2019:Stn21,sampling station,IYS:GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WGS84
IYS:GoA2019:Stn22,sampling station,IYS:GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WGS84
IYS:GoA2019:Stn23,sampling station,IYS:GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WGS84
IYS:GoA2019:Stn24,sampling station,IYS:GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WGS84
IYS:GoA2019:Stn25,sampling station,IYS:GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WGS84
IYS:GoA2019:Stn26,sampling station,IYS:GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WGS84
IYS:GoA2019:Stn27,sampling station,IYS:GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WGS84
IYS:GoA2019:Stn28,sampling station,IYS:GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WGS84
IYS:GoA2019:Stn29,sampling station,IYS:GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WGS84
IYS:GoA2019:Stn30,sampling station,IYS:GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WGS84
IYS:GoA2019:Stn31,sampling station,IYS:GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WGS84
IYS:GoA2019:Stn32,sampling station,IYS:GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WGS84
IYS:GoA2019:Stn33,sampling station,IYS:GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WGS84
IYS:GoA2019:Stn34,sampling station,IYS:GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WGS84
IYS:GoA2019:Stn35,sampling station,IYS:GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WGS84
IYS:GoA2019:Stn39,sampling station,IYS:GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WGS84
IYS:GoA2019:Stn36,sampling station,IYS:GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WGS84
