specimen_id,IAgroup
IYS2022-Shimada-4-21-Trawl-6-1,W AK
IYS2022-Shimada-4-21-Trawl-6-2,W AK
IYS2022-Shimada-4-21-Trawl-6-3,W AK
IYS2022-Shimada-4-21-Trawl-6-4,SE AK / Transboundary
IYS2022-Shimada-4-26-Trawl-9-1,NC BC
IYS2022-Shimada-4-26-Trawl-9-2,W GOA
IYS2022-Shimada-4-26-Trawl-9-3,Unresolved
IYS2022-Shimada-4-26-Trawl-9-4,W GOA
IYS2022-Shimada-4-26-Trawl-9-5,NC BC
IYS2022-Shimada-4-25-Trawl-5-1,W GOA
IYS2022-Franklin-5-49-135-Trawl-115-0001,SE AK / Transboundary
IYS2022-Franklin-5-48-135-Trawl-115-0002,WA/OR coasts
IYS2022-Franklin-5-47-138-Trawl-115-0003,W Coast Vanc Is
IYS2022-Franklin-5-47-138-Trawl-115-0004,Columbia River
IYS2022-Franklin-5-47-138-Trawl-115-0005,WA/OR coasts
IYS2022-Franklin-5-47-138-Trawl-115-0006,Unresolved
IYS2022-Franklin-5-49-138-Trawl-115-0007,NC BC
IYS2022-Franklin-5-49-138-Trawl-115-0008,W GOA
IYS2022-Franklin-5-49-141-Trawl-115-0009,SE AK / Transboundary
IYS2022-Franklin-5-49-141-Trawl-115-0010,SE AK / Transboundary
IYS2022-Franklin-5-47-141-Trawl-115-0011,Unresolved
IYS2022-Franklin-5-47-141-Trawl-115-0012,Unresolved
IYS2022-Franklin-5-47-141-Trawl-115-0013,SE AK / Transboundary
IYS2022-Franklin-5-47-144-Trawl-115-0014,Genotyping Failed
IYS2022-Franklin-5-48-144-Trawl-115-0015,SE AK / Transboundary
IYS2022-Franklin-5-48-144-Trawl-115-0016,SE AK / Transboundary
IYS2022-NW-2-16-Trawl-2-4,Genotyping Failed
IYS2022-NW-2-19-Trawl-2-14,Russia
IYS2022-NW-2-20-Trawl-3-56,Russia
IYS2022-TINRO-3-1-Trawl-213-485,Russia
IYS2022-TINRO-3-2-Trawl-11-13,Russia
IYS2022-TINRO-3-2-Trawl-11-14,Russia
IYS2022-TINRO-3-2-Trawl-11-15,Russia
IYS2022-TINRO-3-2-Trawl-11-16,Russia
IYS2022-TINRO-3-3-Trawl-19-23,Russia
IYS2022-TINRO-3-4-Trawl-29-27,Russia
IYS2022-TINRO-3-4-Trawl-29-28,W AK
IYS2022-TINRO-3-4-Trawl-29-29,Russia
IYS2022-TINRO-3-4-Trawl-29-30,W AK
IYS2022-TINRO-3-5-Trawl-34-31,W AK
IYS2022-TINRO-3-7-Trawl-43-32,Russia
IYS2022-TINRO-3-8-Trawl-47-34,W AK
IYS2022-TINRO-3-10-Trawl-61-86,Russia
IYS2022-TINRO-3-10-Trawl-61-87,Russia
IYS2022-TINRO-3-14-Trawl-99-201,Russia
IYS2022-TINRO-3-14-Trawl-99-202,Russia
IYS2022-TINRO-3-20-Trawl-145-258,Russia
IYS2022-TINRO-3-20-Trawl-145-259,Russia
IYS2022-TINRO-3-25-Trawl-176-314,Russia
IYS2022-TINRO-3-25-Trawl-176-315,Russia
IYS2022-TINRO-3-25-Trawl-176-316,W AK
IYS2022-TINRO-3-26-Trawl-188-437,Russia
IYS2022-TINRO-3-26-Trawl-187-436,Chum
IYS2022-TINRO-3-27-Trawl-193-441,Russia
IYS2022-TINRO-3-28-Trawl-203-450,Russia
IYS2022-TINRO-3-30-Trawl-215-487,Russia
IYS2022-TINRO-3-31-Trawl-222-497,Russia
IYS2022-TINRO-3-31-Trawl-222-498,Russia
IYS2022-TINRO-3-31-Trawl-222-499,Russia
IYS2022-TINRO-3-31-Trawl-222-500,Russia
IYS2022-TINRO-3-31-Trawl-222-501,Russia
IYS2022-TINRO-3-3-Trawl-16-19,NorthernRussia
IYS2022-TINRO-3-3-Trawl-17-20,NorthernRussia
IYS2022-TINRO-3-8-Trawl-46-33,NorthernRussia
IYS2022-TINRO-3-9-Trawl-48-35,NorthernRussia
IYS2022-TINRO-3-10-Trawl-62-88,Japan/Korea/SouthernRussia
IYS2022-TINRO-3-10-Trawl-62-89,SouthernBC/WA
IYS2022-TINRO-3-10-Trawl-62-90,NorthernRussia
IYS2022-TINRO-3-11-Trawl-70-91,NorthernRussia
IYS2022-TINRO-3-12-Trawl-80-104,NorthernRussia
IYS2022-TINRO-3-12-Trawl-80-105,Japan/Korea/SouthernRussia
IYS2022-TINRO-3-12-Trawl-80-106,SEAK/NorthernBC
IYS2022-TINRO-3-12-Trawl-80-107,SEAK/NorthernBC
IYS2022-TINRO-3-12-Trawl-80-108,Japan/Korea/SouthernRussia
IYS2022-TINRO-3-12-Trawl-80-109,Japan/Korea/SouthernRussia
IYS2022-TINRO-3-12-Trawl-80-110,Japan/Korea/SouthernRussia
IYS2022-TINRO-3-12-Trawl-80-111,Japan/Korea/SouthernRussia
IYS2022-TINRO-3-12-Trawl-80-112,SEAK/NorthernBC
IYS2022-TINRO-3-12-Trawl-80-113,Japan/Korea/SouthernRussia
IYS2022-TINRO-3-13-Trawl-85-114,NAKPen/WesternGOA
IYS2022-TINRO-3-13-Trawl-85-115,NorthernRussia
IYS2022-TINRO-3-13-Trawl-85-116,Japan/Korea/SouthernRussia
IYS2022-TINRO-3-13-Trawl-85-117,Japan/Korea/SouthernRussia
IYS2022-TINRO-3-13-Trawl-85-118,NorthernRussia
IYS2022-TINRO-3-13-Trawl-85-119,Japan/Korea/SouthernRussia
IYS2022-TINRO-3-13-Trawl-85-120,NorthernRussia
IYS2022-TINRO-3-13-Trawl-85-121,Japan/Korea/SouthernRussia
IYS2022-TINRO-3-13-Trawl-85-122,NorthernRussia
IYS2022-TINRO-3-13-Trawl-85-123,SouthernBC/WA
IYS2022-TINRO-3-13-Trawl-85-124,SEAK/NorthernBC
IYS2022-TINRO-3-13-Trawl-85-125,SouthernBC/WA
IYS2022-TINRO-3-13-Trawl-85-126,NAKPen/WesternGOA
IYS2022-TINRO-3-13-Trawl-85-127,NorthernRussia
IYS2022-TINRO-3-13-Trawl-85-128,NorthernRussia
IYS2022-TINRO-3-13-Trawl-85-129,Japan/Korea/SouthernRussia
IYS2022-TINRO-3-13-Trawl-85-130,NorthernRussia
IYS2022-TINRO-3-13-Trawl-86-131,WesternAK
IYS2022-TINRO-3-13-Trawl-86-132,WesternAK
IYS2022-TINRO-3-13-Trawl-86-133,WesternAK
IYS2022-TINRO-3-13-Trawl-86-184,WesternAK
IYS2022-TINRO-3-14-Trawl-100-203,Japan/Korea/SouthernRussia
IYS2022-TINRO-3-15-Trawl-108-227,NAKPen/WesternGOA
IYS2022-TINRO-3-15-Trawl-108-228,SEAK/NorthernBC
IYS2022-TINRO-3-15-Trawl-108-229,NorthernRussia
IYS2022-TINRO-3-15-Trawl-108-230,NorthernRussia
IYS2022-TINRO-3-15-Trawl-108-231,SouthernBC/WA
IYS2022-TINRO-3-15-Trawl-108-232,NAKPen/WesternGOA
IYS2022-TINRO-3-15-Trawl-108-234,WesternAK
IYS2022-TINRO-3-15-Trawl-108-235,NorthernRussia
IYS2022-TINRO-3-17-Trawl-122-238,SEAK/NorthernBC
IYS2022-TINRO-3-17-Trawl-122-239,SouthernBC/WA
IYS2022-TINRO-3-20-Trawl-146-261,Japan/Korea/SouthernRussia
IYS2022-TINRO-3-20-Trawl-146-262,WesternAK
IYS2022-TINRO-3-22-Trawl-151-264,Japan/Korea/SouthernRussia
IYS2022-TINRO-3-24-Trawl-164-304,SEAK/NorthernBC
IYS2022-TINRO-3-24-Trawl-164-305,NorthernRussia
IYS2022-TINRO-3-24-Trawl-164-306,Japan/Korea/SouthernRussia
IYS2022-TINRO-3-24-Trawl-164-307,Japan/Korea/SouthernRussia
IYS2022-TINRO-3-24-Trawl-167-310,WesternAK
IYS2022-TINRO-3-24-Trawl-167-311,SEAK/NorthernBC
IYS2022-TINRO-3-25-Trawl-175-312,NorthernRussia
IYS2022-TINRO-3-25-Trawl-175-313,NorthernRussia
IYS2022-TINRO-3-26-Trawl-180-327,Japan/Korea/SouthernRussia
IYS2022-TINRO-3-26-Trawl-180-328,SEAK/NorthernBC
IYS2022-TINRO-3-26-Trawl-180-329,NorthernRussia
IYS2022-TINRO-3-26-Trawl-180-330,Japan/Korea/SouthernRussia
IYS2022-TINRO-3-26-Trawl-181-354,NAKPen/WesternGOA
