Station_Event_ID,Instrument_Type,Instrument_Model,Sampling_Depth_Dbar,sea_water_temperature,sea_water_salinity,sea_water_conductivity,sea_water_EC25,sea_water_density,sea_water_sigmaT,sea_water_turbidity,sea_water_chl_fluorescence,sea_water_chl_concentration,sea_water_dissolvedO2,sea_water_dissolvedO2_sat,sea_water_pH,sea_water_BOD5,Comments
IYS2022-TINRO-3-1-CTD,CTD,SeaBird911,0,5.267,32.869,NA,NA,1025.95591449556,25.955914495559,NA,NA,NA,NA,NA,NA,NA,NA
IYS2022-TINRO-3-1-CTD,CTD,SeaBird911,1,5.267,32.869,NA,NA,1025.96055627806,25.9559231106523,NA,NA,NA,NA,NA,NA,NA,NA
IYS2022-TINRO-3-1-CTD,CTD,SeaBird911,2,5.267,32.869,NA,NA,1025.9651979615,25.9559317273947,NA,NA,NA,NA,NA,NA,NA,NA
IYS2022-TINRO-3-1-CTD,CTD,SeaBird911,3,5.267,32.869,NA,NA,1025.9698395459,25.9559403457865,NA,NA,NA,NA,NA,NA,NA,NA
IYS2022-TINRO-3-1-CTD,CTD,SeaBird911,4,5.267,32.869,NA,NA,1025.97448103125,25.9559489658275,NA,NA,NA,NA,NA,NA,NA,NA
IYS2022-TINRO-3-1-CTD,CTD,SeaBird911,5,5.267,32.869,NA,NA,1025.97912241755,25.9559575875171,NA,NA,NA,NA,NA,NA,NA,NA
IYS2022-TINRO-3-1-CTD,CTD,SeaBird911,6,5.268,32.869,NA,NA,1025.98364922077,25.9558518804163,NA,NA,NA,NA,NA,NA,NA,NA
IYS2022-TINRO-3-1-CTD,CTD,SeaBird911,7,5.268,32.869,NA,NA,1025.98829038519,25.9558605072004,NA,NA,NA,NA,NA,NA,NA,NA
IYS2022-TINRO-3-1-CTD,CTD,SeaBird911,8,5.268,32.869,NA,NA,1025.99293145058,25.9558691356335,NA,NA,NA,NA,NA,NA,NA,NA
IYS2022-TINRO-3-1-CTD,CTD,SeaBird911,9,5.267,32.869,NA,NA,1025.99768697236,25.955992090762,NA,NA,NA,NA,NA,NA,NA,NA
IYS2022-TINRO-3-1-CTD,CTD,SeaBird911,10,5.266,32.869,NA,NA,1026.00244243094,25.9561150321649,NA,NA,NA,NA,NA,NA,NA,NA
IYS2022-TINRO-3-1-CTD,CTD,SeaBird911,11,5.266,32.869,NA,NA,1026.00708324682,25.9561236619475,NA,NA,NA,NA,NA,NA,NA,NA
IYS2022-TINRO-3-1-CTD,CTD,SeaBird911,12,5.267,32.869,NA,NA,1026.01160934864,25.9560179855023,NA,NA,NA,NA,NA,NA,NA,NA
IYS2022-TINRO-3-1-CTD,CTD,SeaBird911,13,5.267,32.869,NA,NA,1026.01624994268,25.956026620378,NA,NA,NA,NA,NA,NA,NA,NA
IYS2022-TINRO-3-1-CTD,CTD,SeaBird911,14,5.267,32.869,NA,NA,1026.0208904377,25.9560352569013,NA,NA,NA,NA,NA,NA,NA,NA
IYS2022-TINRO-3-1-CTD,CTD,SeaBird911,15,5.267,32.869,NA,NA,1026.02553083371,25.9560438950718,NA,NA,NA,NA,NA,NA,NA,NA
IYS2022-TINRO-3-1-CTD,CTD,SeaBird911,16,5.266,32.869,NA,NA,1026.03028584092,25.9561668355743,NA,NA,NA,NA,NA,NA,NA,NA
IYS2022-TINRO-3-1-CTD,CTD,SeaBird911,17,5.266,32.869,NA,NA,1026.03492606269,25.9561754752413,NA,NA,NA,NA,NA,NA,NA,NA
IYS2022-TINRO-3-1-CTD,CTD,SeaBird911,18,5.266,32.869,NA,NA,1026.03956618546,25.9561841165553,NA,NA,NA,NA,NA,NA,NA,NA
IYS2022-TINRO-3-1-CTD,CTD,SeaBird911,19,5.266,32.869,NA,NA,1026.04420620921,25.9561927595162,NA,NA,NA,NA,NA,NA,NA,NA
IYS2022-TINRO-3-1-CTD,CTD,SeaBird911,20,5.267,32.869,NA,NA,1026.04873132859,25.9560871106319,NA,NA,NA,NA,NA,NA,NA,NA
IYS2022-TINRO-3-1-CTD,CTD,SeaBird911,21,5.267,32.869,NA,NA,1026.05337113056,25.9560957586841,NA,NA,NA,NA,NA,NA,NA,NA
IYS2022-TINRO-3-1-CTD,CTD,SeaBird911,22,5.267,32.869,NA,NA,1026.05801083352,25.956104408383,NA,NA,NA,NA,NA,NA,NA,NA
IYS2022-TINRO-3-1-CTD,CTD,SeaBird911,23,5.267,32.869,NA,NA,1026.0626504375,25.9561130597278,NA,NA,NA,NA,NA,NA,NA,NA
