,station,date,time,vol_flow_est,vol_depth_est,prop_total_sample,sf_proc,prop_sf_proc,genus,species,stage,sex,id,ind_counted,ind_total,abund_m3_flow_est,abund_m3_depth_est,notes,year,yearletter,StationYear
1,1,2/19/2019,1899-12-31 09:30:00,42.4,49.09,1,10-May,1,NA,NA,NA,NA,Chaetognath sp. (no heads),36,36,0.849056604,0.733346914,NA,2019,A,A 1
2,1,2/19/2019,1899-12-31 09:30:00,42.4,49.09,1,10-May,1,Clione,limacina,NA,NA,Clione limacina,1,1,0.023584906,0.020370748,NA,2019,A,A 1
3,1,2/19/2019,1899-12-31 09:30:00,42.4,49.09,1,10-May,1,Eucalanus,bungii,C6,M,Eucalanus bungii,1,1,0.023584906,0.020370748,NA,2019,A,A 1
4,1,2/19/2019,1899-12-31 09:30:00,42.4,49.09,1,10-May,1,Eukrohnia,hamata,NA,NA,Eukrohnia hamata,5,5,0.117924528,0.101853738,NA,2019,A,A 1
5,1,2/19/2019,1899-12-31 09:30:00,42.4,49.09,1,10-May,1,Neocalanus,cristatus,C4,NA,Neocalanus cristatus,1,1,0.023584906,0.020370748,NA,2019,A,A 1
6,1,2/19/2019,1899-12-31 09:30:00,42.4,49.09,1,10-May,1,Neocalanus,cristatus,C5,NA,Neocalanus cristatus,1,1,0.023584906,0.020370748,NA,2019,A,A 1
7,1,2/19/2019,1899-12-31 09:30:00,42.4,49.09,1,10-May,1,Parasagitta,elegans,NA,NA,Parasagitta elegans,69,69,1.627358491,1.405581585,NA,2019,A,A 1
8,1,2/19/2019,1899-12-31 09:30:00,42.4,49.09,1,<5,0.0625,Acartia,longiremis,C6,F,Acartia longiremis,4,64,1.509433962,1.303727847,NA,2019,A,A 1
9,1,2/19/2019,1899-12-31 09:30:00,42.4,49.09,1,<5,0.0625,Acartia,longiremis,C6,M,Acartia longiremis,1,16,0.377358491,0.325931962,NA,2019,A,A 1
10,1,2/19/2019,1899-12-31 09:30:00,42.4,49.09,1,<5,0.0625,Calanus,NA,C1,NA,Calanus sp.,1,16,0.377358491,0.325931962,NA,2019,A,A 1
11,1,2/19/2019,1899-12-31 09:30:00,42.4,49.09,1,<5,0.0625,Calanus,NA,C2,NA,Calanus sp.,3,48,1.132075472,0.977795885,NA,2019,A,A 1
12,1,2/19/2019,1899-12-31 09:30:00,42.4,49.09,1,<5,0.0625,Calocalanus,styliremis,C5,NA,Calocalanus styliremis,1,16,0.377358491,0.325931962,NA,2019,A,A 1
13,1,2/19/2019,1899-12-31 09:30:00,42.4,49.09,1,<5,0.0625,Candacia,NA,C1,NA,Candacia sp.,1,16,0.377358491,0.325931962,NA,2019,A,A 1
14,1,2/19/2019,1899-12-31 09:30:00,42.4,49.09,1,<5,0.0625,NA,NA,juvenile,NA,Chaetognath,5,80,1.886792453,1.629659809,NA,2019,A,A 1
15,1,2/19/2019,1899-12-31 09:30:00,42.4,49.09,1,<5,0.0625,Clausocalanus,parapergens,C6,F,Clausocalanus parapergens,2,32,0.754716981,0.651863923,NA,2019,A,A 1
16,1,2/19/2019,1899-12-31 09:30:00,42.4,49.09,1,<5,0.0625,Clausocalanus,NA,C5,NA,Clausocalanus sp.,12,192,4.528301887,3.91118354,NA,2019,A,A 1
17,1,2/19/2019,1899-12-31 09:30:00,42.4,49.09,1,<5,0.0625,Clausocalanus,NA,C4,NA,Clausocalanus sp.,2,32,0.754716981,0.651863923,NA,2019,A,A 1
18,1,2/19/2019,1899-12-31 09:30:00,42.4,49.09,1,<5,0.0625,Disconchoecia,elegans,NA,NA,Disconchoecia elegans,2,32,0.754716981,0.651863923,NA,2019,A,A 1
19,1,2/19/2019,1899-12-31 09:30:00,42.4,49.09,1,<5,0.0625,Eucalanus,bungii,C4,NA,Eucalanus bungii,1,16,0.377358491,0.325931962,NA,2019,A,A 1
20,1,2/19/2019,1899-12-31 09:30:00,42.4,49.09,1,<5,0.0625,NA,NA,calyptopsis,NA,Euphausiidae,1,16,0.377358491,0.325931962,NA,2019,A,A 1
21,1,2/19/2019,1899-12-31 09:30:00,42.4,49.09,1,<5,0.0625,NA,NA,egg,NA,Euphausiidae,7,112,2.641509434,2.281523732,NA,2019,A,A 1
22,1,2/19/2019,1899-12-31 09:30:00,42.4,49.09,1,<5,0.0625,NA,NA,<0.5mm,NA,Halocyprididae sp.,2,32,0.754716981,0.651863923,NA,2019,A,A 1
23,1,2/19/2019,1899-12-31 09:30:00,42.4,49.09,1,<5,0.0625,Heterostylites,NA,C2,NA,Heterostylites sp.,1,16,0.377358491,0.325931962,NA,2019,A,A 1
24,1,2/19/2019,1899-12-31 09:30:00,42.4,49.09,1,<5,0.0625,Limacina,helicina,NA,NA,Limacina helicina,21,336,7.924528302,6.844571196,NA,2019,A,A 1
25,1,2/19/2019,1899-12-31 09:30:00,42.4,49.09,1,<5,0.0625,Metridia,pacifica,C4,NA,Metridia pacifica,9,144,3.396226415,2.933387655,NA,2019,A,A 1
26,1,2/19/2019,1899-12-31 09:30:00,42.4,49.09,1,<5,0.0625,Metridia,pacifica,C5,NA,Metridia pacifica,3,48,1.132075472,0.977795885,NA,2019,A,A 1
27,1,2/19/2019,1899-12-31 09:30:00,42.4,49.09,1,<5,0.0625,Metridia,pacifica,C6,M,Metridia pacifica,1,16,0.377358491,0.325931962,NA,2019,A,A 1
28,1,2/19/2019,1899-12-31 09:30:00,42.4,49.09,1,<5,0.0625,Metridia,NA,C2,NA,Metridia sp.,14,224,5.283018868,4.563047464,NA,2019,A,A 1
29,1,2/19/2019,1899-12-31 09:30:00,42.4,49.09,1,<5,0.0625,Metridia,NA,C3,NA,Metridia sp.,8,128,3.018867925,2.607455694,NA,2019,A,A 1
30,1,2/19/2019,1899-12-31 09:30:00,42.4,49.09,1,<5,0.0625,Metridia,NA,C1,NA,Metridia sp.,1,16,0.377358491,0.325931962,NA,2019,A,A 1
31,1,2/19/2019,1899-12-31 09:30:00,42.4,49.09,1,<5,0.0625,Neocalanus,C1,NA,NA,Neocalanus sp.,21,336,7.924528302,6.844571196,NA,2019,A,A 1
32,1,2/19/2019,1899-12-31 09:30:00,42.4,49.09,1,<5,0.0625,Neocalanus,C2,NA,NA,Neocalanus sp.,6,96,2.264150943,1.95559177,NA,2019,A,A 1
33,1,2/19/2019,1899-12-31 09:30:00,42.4,49.09,1,<5,0.0625,Neocalanus,C3,NA,NA,Neocalanus sp.,2,32,0.754716981,0.651863923,NA,2019,A,A 1
