vessel_name,date,station_no,lat,lon,start_time,sst,CTD,Bongo,Juday,Neuston,Tucker,Argo_float,Trawl,Trawl_duration,Gillnet,Longline,pink,chum,sockeye,Chinook,coho,steelhead,notes
Raw Spirit,,NA,45,-135,,NA,,,,,,,,NA,X,X,NA,NA,NA,NA,NA,NA,
Raw Spirit,,NA,46,-135,,NA,,,,,,,,NA,X,X,NA,NA,NA,NA,NA,NA,
Raw Spirit,,NA,46,-138,,NA,,,,,,,,NA,X,X,NA,NA,NA,NA,NA,NA,
Raw Spirit,,NA,47,-135,,NA,,,,,,,,NA,X,X,NA,NA,NA,NA,NA,NA,
Raw Spirit,,NA,47,-138,,NA,,,,,,,,NA,X,X,NA,NA,NA,NA,NA,NA,
Raw Spirit,,NA,47,-141,,NA,,,,,,,,NA,X,X,NA,NA,NA,NA,NA,NA,
Raw Spirit,,NA,48,-133,,NA,,,,,,,,NA,X,X,NA,NA,NA,NA,NA,NA,
Raw Spirit,,NA,48,-135,,NA,,,,,,,,NA,X,X,NA,NA,NA,NA,NA,NA,
Raw Spirit,,NA,48,-138,,NA,,,,,,,,NA,X,X,NA,NA,NA,NA,NA,NA,
Raw Spirit,,NA,48,-141,,NA,,,,,,,,NA,X,X,NA,NA,NA,NA,NA,NA,
Raw Spirit,,NA,49,-135,,NA,,,,,,,,NA,X,X,NA,NA,NA,NA,NA,NA,
Raw Spirit,,NA,49,-141,,NA,,,,,,,,NA,X,X,NA,NA,NA,NA,NA,NA,
Raw Spirit,,NA,50,-138,,NA,,,,,,,,NA,X,X,NA,NA,NA,NA,NA,NA,
