station_event_id,net_number,net_id,specimen_id,verbatim_identification,scientific_name,scientific_name_id,lifestage,sex,size_range,taxonomic_rank,prop_total_sample,sf_proc,prop_sf_proc,catch_count,count_method,flowmeter_volume_filtered_m3,depth_volume_filtered_m3,abundance_m3,preservation_method,comments
GoA2019-Kaganovsky-1-Bongo,1,GoA2019-Kaganovsky-1-Bongo-1,GoA2019-Kaganovsky-1-Bongo-1-1,Chaetognath sp. (no heads),Chaetognatha,urn:lsid:marinespecies.org:taxname:2081,,,,Phylum,1,5-10mm,1,36,,42.4,49.09,0.849,formalin,
GoA2019-Kaganovsky-1-Bongo,1,GoA2019-Kaganovsky-1-Bongo-1,GoA2019-Kaganovsky-1-Bongo-1-2,Clione limacina,Clione limacina,urn:lsid:marinespecies.org:taxname:139178,,,,Species,1,5-10mm,1,1,,42.4,49.09,0.024,formalin,
GoA2019-Kaganovsky-1-Bongo,1,GoA2019-Kaganovsky-1-Bongo-1,GoA2019-Kaganovsky-1-Bongo-1-3,Eucalanus bungii,Eucalanus bungii,urn:lsid:marinespecies.org:taxname:196775,C6,male,,Species,1,5-10mm,1,1,,42.4,49.09,0.024,formalin,
GoA2019-Kaganovsky-1-Bongo,1,GoA2019-Kaganovsky-1-Bongo-1,GoA2019-Kaganovsky-1-Bongo-1-4,Eukrohnia hamata,Eukrohnia hamata,urn:lsid:marinespecies.org:taxname:105416,,,,Species,1,5-10mm,1,5,,42.4,49.09,0.118,formalin,
GoA2019-Kaganovsky-1-Bongo,1,GoA2019-Kaganovsky-1-Bongo-1,GoA2019-Kaganovsky-1-Bongo-1-5,Neocalanus cristatus,Neocalanus cristatus,urn:lsid:marinespecies.org:taxname:104470,C4,,,Species,1,5-10mm,1,1,,42.4,49.09,0.024,formalin,
GoA2019-Kaganovsky-1-Bongo,1,GoA2019-Kaganovsky-1-Bongo-1,GoA2019-Kaganovsky-1-Bongo-1-6,Neocalanus cristatus,Neocalanus cristatus,urn:lsid:marinespecies.org:taxname:104470,C5,,,Species,1,5-10mm,1,1,,42.4,49.09,0.024,formalin,
GoA2019-Kaganovsky-1-Bongo,1,GoA2019-Kaganovsky-1-Bongo-1,GoA2019-Kaganovsky-1-Bongo-1-7,Parasagitta elegans,Parasagitta elegans,urn:lsid:marinespecies.org:taxname:105440,,,,Species,1,5-10mm,1,69,,42.4,49.09,1.627,formalin,
GoA2019-Kaganovsky-1-Bongo,1,GoA2019-Kaganovsky-1-Bongo-1,GoA2019-Kaganovsky-1-Bongo-1-8,Acartia longiremis,Acartia longiremis,urn:lsid:marinespecies.org:taxname:104257,C6,female,,Species,1,<5mm,0.0625,64,,42.4,49.09,1.509,formalin,
GoA2019-Kaganovsky-1-Bongo,1,GoA2019-Kaganovsky-1-Bongo-1,GoA2019-Kaganovsky-1-Bongo-1-9,Acartia longiremis,Acartia longiremis,urn:lsid:marinespecies.org:taxname:104257,C6,male,,Species,1,<5mm,0.0625,16,,42.4,49.09,0.377,formalin,
GoA2019-Kaganovsky-1-Bongo,1,GoA2019-Kaganovsky-1-Bongo-1,GoA2019-Kaganovsky-1-Bongo-1-10,Calanus sp.,Calanus,urn:lsid:marinespecies.org:taxname:104152,C1,,,Genus,1,<5mm,0.0625,16,,42.4,49.09,0.377,formalin,
GoA2019-Kaganovsky-1-Bongo,1,GoA2019-Kaganovsky-1-Bongo-1,GoA2019-Kaganovsky-1-Bongo-1-11,Calanus sp.,Calanus,urn:lsid:marinespecies.org:taxname:104152,C2,,,Genus,1,<5mm,0.0625,48,,42.4,49.09,1.132,formalin,
GoA2019-Kaganovsky-1-Bongo,1,GoA2019-Kaganovsky-1-Bongo-1,GoA2019-Kaganovsky-1-Bongo-1-12,Calocalanus styliremis,Calocalanus styliremis,urn:lsid:marinespecies.org:taxname:104673,C5,,,Species,1,<5mm,0.0625,16,,42.4,49.09,0.377,formalin,
GoA2019-Kaganovsky-1-Bongo,1,GoA2019-Kaganovsky-1-Bongo-1,GoA2019-Kaganovsky-1-Bongo-1-13,Candacia sp.,Candacia,urn:lsid:marinespecies.org:taxname:104157,C1,,,Genus,1,<5mm,0.0625,16,,42.4,49.09,0.377,formalin,
GoA2019-Kaganovsky-1-Bongo,1,GoA2019-Kaganovsky-1-Bongo-1,GoA2019-Kaganovsky-1-Bongo-1-14,Chaetognath,Chaetognatha,urn:lsid:marinespecies.org:taxname:2081,juvenile,,,Phylum,1,<5mm,0.0625,80,,42.4,49.09,1.887,formalin,
GoA2019-Kaganovsky-1-Bongo,1,GoA2019-Kaganovsky-1-Bongo-1,GoA2019-Kaganovsky-1-Bongo-1-15,Clausocalanus parapergens,Clausocalanus parapergens,urn:lsid:marinespecies.org:taxname:104507,C6,female,,Species,1,<5mm,0.0625,32,,42.4,49.09,0.755,formalin,
GoA2019-Kaganovsky-1-Bongo,1,GoA2019-Kaganovsky-1-Bongo-1,GoA2019-Kaganovsky-1-Bongo-1-16,Clausocalanus sp.,Clausocalanus,urn:lsid:marinespecies.org:taxname:104161,C5,,,Genus,1,<5mm,0.0625,192,,42.4,49.09,4.528,formalin,
GoA2019-Kaganovsky-1-Bongo,1,GoA2019-Kaganovsky-1-Bongo-1,GoA2019-Kaganovsky-1-Bongo-1-17,Clausocalanus sp.,Clausocalanus,urn:lsid:marinespecies.org:taxname:104161,C4,,,Genus,1,<5mm,0.0625,32,,42.4,49.09,0.755,formalin,
