cruise_name,vessel_name_abbr,zone,station,event_type,station_event_id,original_event_id,event_date,year,month,day,time_start,time_end,sampling_duration_minutes,day_night,time_zone_code,minimum_sampling_depth_meters,maximum_sampling_depth_meters,tow_speed_kilometers_per_hour,latitude_start_decdeg,longitude_start_decdeg,latitude_end_decdeg,longitude_end_decdeg,bottom_depth_meters,tow_distance_nautical_miles,wind_direction_degrees,wind_speed_kilometers_per_hour,wave_height_meters,comments,day_of_year,dataset_doi
IYS2022,TINRO,3,1,Trawl,IYS2022-TINRO-3-1-Trawl,,2022-03-02T04:10:00Z,2022,3,2,04:10:00,05:10:00,60,day,UTC,0,24,9,48.63,-172.315,48.63,-172.2,5269,5,250,50,3,,61,https://doi.org/10.21966/wevm-ww19
IYS2022,TINRO,3,2,Trawl,IYS2022-TINRO-3-2-Trawl,,2022-03-02T14:58:00Z,2022,3,2,14:58:00,15:58:00,60,night,UTC,0,27,8,47.9133,-171.1133,47.9133,-171.0117,5400,4,250,65,4,,61,https://doi.org/10.21966/wevm-ww19
IYS2022,TINRO,3,3,Trawl,IYS2022-TINRO-3-3-Trawl,,2022-03-03T01:23:00Z,2022,3,3,01:23:00,02:23:00,60,day,UTC,0,29,9,47.89,-169.4333,47.89,-169.3267,4700,5,250,36,4,,62,https://doi.org/10.21966/wevm-ww19
IYS2022,TINRO,3,4,Trawl,IYS2022-TINRO-3-4-Trawl,,2022-03-04T06:23:00Z,2022,3,4,06:23:00,07:23:00,60,night,UTC,0,29,9,47.1367,-170.2,47.1367,-170.09,4700,5,290,43,3,,63,https://doi.org/10.21966/wevm-ww19
IYS2022,TINRO,3,5,Trawl,IYS2022-TINRO-3-5-Trawl,,2022-03-04T16:30:00Z,2022,3,4,16:30:00,17:30:00,60,night,UTC,0,25,8,46.2883,-169.3867,46.2883,-169.2883,5500,4,285,50,3,,63,https://doi.org/10.21966/wevm-ww19
IYS2022,TINRO,3,6,Trawl,IYS2022-TINRO-3-6-Trawl,,2022-03-05T01:57:00Z,2022,3,5,01:57:00,02:57:00,60,day,UTC,0,29,10,45.4683,-168.4617,45.4683,-168.3433,5000,5,,0,3,"Trawl was successful, but no species were caught.",64,https://doi.org/10.21966/wevm-ww19
IYS2022,TINRO,3,7,Trawl,IYS2022-TINRO-3-7-Trawl,,2022-03-05T10:19:00Z,2022,3,5,10:19:00,11:19:00,60,night,UTC,0,28,9,45.4,-167.2317,45.4,-167.3383,5000,5,110,36,2,,64,https://doi.org/10.21966/wevm-ww19
IYS2022,TINRO,3,8,Trawl,IYS2022-TINRO-3-8-Trawl,,2022-03-05T18:44:00Z,2022,3,5,18:44:00,19:44:00,60,day,UTC,0,24,7,46.42,-167.2117,46.42,-167.2417,5500,4,142,40,1.5,,64,https://doi.org/10.21966/wevm-ww19
IYS2022,TINRO,3,9,Trawl,IYS2022-TINRO-3-9-Trawl,,2022-03-06T04:36:00Z,2022,3,6,04:36:00,05:36:00,60,night,UTC,0,27,9,47.525,-167.2783,47.525,-167.375,5500,5,125,50,2,,65,https://doi.org/10.21966/wevm-ww19
IYS2022,TINRO,3,10,Trawl,IYS2022-TINRO-3-10-Trawl,,2022-03-06T13:30:00Z,2022,3,6,13:30:00,14:30:00,60,night,UTC,0,27,9,48.5583,-167.2783,48.5583,-167.3933,5200,5,110,43,2.5,,65,https://doi.org/10.21966/wevm-ww19
IYS2022,TINRO,3,11,Trawl,IYS2022-TINRO-3-11-Trawl,,2022-03-06T23:40:00Z,2022,3,6,23:40:00,00:40:00,60,day,UTC,0,26,8,49.065,-169.065,49.065,-169.17,5200,4,55,47,2,,65,https://doi.org/10.21966/wevm-ww19
IYS2022,TINRO,3,12,Trawl,IYS2022-TINRO-3-12-Trawl,,2022-03-07T12:29:00Z,2022,3,7,12:29:00,13:29:00,60,night,UTC,0,29,8,49.515,-167.3617,49.515,-167.4233,5300,4,354,40,3,,66,https://doi.org/10.21966/wevm-ww19
IYS2022,TINRO,3,13,Trawl,IYS2022-TINRO-3-13-Trawl,,2022-03-08T03:12:00Z,2022,3,8,03:12:00,04:12:00,60,day,UTC,0,28,9,50.0667,-165.1867,50.0667,-165.3017,5000,5,,0,3,,67,https://doi.org/10.21966/wevm-ww19
