station_event_id,original_event_id,catch_id,original_catch_id,verbatim_identification,species_recorded,common_name,scientific_name,scientific_name_id,taxonomic_rank,identified_by,date_identified,lifestage,catch_count,count_method,catch_weight,catch_weight_units,weight_method,comments
IYS2022-TINRO-3-1-Trawl,,IYS2022-TINRO-3-1-Trawl-1,,Aequorea sp.,,,Aequorea,urn:lsid:marinespecies.org:taxname:116998,genus,Aleksey Somov,2022-03-02,adult,,,0.643,kilograms,Total,
IYS2022-TINRO-3-1-Trawl,,IYS2022-TINRO-3-1-Trawl-2,,Oncorhynchus tschawytscha,,Chinook Salmon,Oncorhynchus tshawytscha,urn:lsid:marinespecies.org:taxname:158075,species,Aleksey Somov,2022-03-02,immature,1,Total,1.313,kilograms,Total,
IYS2022-TINRO-3-1-Trawl,,IYS2022-TINRO-3-1-Trawl-3,,Oncorhynchus nerka,,Sockeye Salmon,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,species,Aleksey Somov,2022-03-02,immature,2,Total,1.431,kilograms,Total,
IYS2022-TINRO-3-2-Trawl,,IYS2022-TINRO-3-2-Trawl-4,,Aequorea sp.,,,Aequorea,urn:lsid:marinespecies.org:taxname:116998,genus,Aleksey Somov,2022-03-03,adult,,,0.495,kilograms,Total,
IYS2022-TINRO-3-2-Trawl,,IYS2022-TINRO-3-2-Trawl-5,,Phacellophora camtshchatica,,,Phacellophora camtschatica,urn:lsid:marinespecies.org:taxname:135309,species,Aleksey Somov,2022-03-03,adult,1,Total,0.336,kilograms,Total,
IYS2022-TINRO-3-2-Trawl,,IYS2022-TINRO-3-2-Trawl-6,,Onychoteuthis borealijaponica,,,Onychoteuthis borealijaponica,urn:lsid:marinespecies.org:taxname:342069,species,Aleksey Somov,2022-03-03,adult,8,Total,1.373,kilograms,Total,
IYS2022-TINRO-3-2-Trawl,,IYS2022-TINRO-3-2-Trawl-7,,Boreoteuthis borealis,,,Boreoteuthis borealis,urn:lsid:marinespecies.org:taxname:1468832,species,Aleksey Somov,2022-03-03,adult,12,Total,0.158,kilograms,Total,
IYS2022-TINRO-3-2-Trawl,,IYS2022-TINRO-3-2-Trawl-8,,Boreoteuthis borealis,,,Boreoteuthis borealis,urn:lsid:marinespecies.org:taxname:1468832,species,Aleksey Somov,2022-03-03,juvenile,1,Total,0.003,kilograms,Total,
IYS2022-TINRO-3-2-Trawl,,IYS2022-TINRO-3-2-Trawl-9,,Tarletonbeania crenularis,,,Tarletonbeania crenularis,urn:lsid:marinespecies.org:taxname:282927,species,Aleksey Somov,2022-03-03,adult,8,Total,0.013,kilograms,Total,
IYS2022-TINRO-3-2-Trawl,,IYS2022-TINRO-3-2-Trawl-10,,Oncorhynchus gorbuscha,,Pink Salmon,Oncorhynchus gorbuscha,urn:lsid:marinespecies.org:taxname:127182,species,Aleksey Somov,2022-03-03,juvenile,1,Total,0.129,kilograms,Total,
IYS2022-TINRO-3-2-Trawl,,IYS2022-TINRO-3-2-Trawl-11,,Oncorhynchus kisutch,,Coho Salmon,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,species,Aleksey Somov,2022-03-03,immature,5,Total,2.158,kilograms,Total,
IYS2022-TINRO-3-2-Trawl,,IYS2022-TINRO-3-2-Trawl-12,,Oncorhynchus nerka,,Sockeye Salmon,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,species,Aleksey Somov,2022-03-03,immature,9,Total,4.947,kilograms,Total,
IYS2022-TINRO-3-2-Trawl,,IYS2022-TINRO-3-2-Trawl-13,,Gonatidae sp.,,,Gonatidae,urn:lsid:marinespecies.org:taxname:11743,family,Aleksey Somov,2022-03-03,juvenile,4,Total,0.007,kilograms,Total,
IYS2022-TINRO-3-3-Trawl,,IYS2022-TINRO-3-3-Trawl-14,,Aequorea sp.,,,Aequorea,urn:lsid:marinespecies.org:taxname:116998,genus,Aleksey Somov,2022-03-03,adult,,,0.43,kilograms,Total,
IYS2022-TINRO-3-3-Trawl,,IYS2022-TINRO-3-3-Trawl-15,,Oncorhynchus gorbuscha,,Pink Salmon,Oncorhynchus gorbuscha,urn:lsid:marinespecies.org:taxname:127182,species,Aleksey Somov,2022-03-03,juvenile,1,Total,0.122,kilograms,Total,
IYS2022-TINRO-3-3-Trawl,,IYS2022-TINRO-3-3-Trawl-16,,Oncorhynchus keta,,Chum Salmon,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,species,Aleksey Somov,2022-03-03,juvenile,1,Total,0.098,kilograms,Total,
IYS2022-TINRO-3-3-Trawl,,IYS2022-TINRO-3-3-Trawl-17,,Oncorhynchus keta,,Chum Salmon,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,species,Aleksey Somov,2022-03-03,immature,1,Total,0.323,kilograms,Total,
IYS2022-TINRO-3-3-Trawl,,IYS2022-TINRO-3-3-Trawl-18,,Oncorhynchus nerka,,Sockeye Salmon,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,species,Aleksey Somov,2022-03-03,immature,2,Total,1.53,kilograms,Total,
