station_event_id,original_event_id,catch_id,original_catch_id,specimen_id,original_specimen_id,verbatim_identification,species_recorded,common_name,scientific_name,scientific_name_id,lifestage,sex,taxonomic_rank,size_class_mm,number_measured,specimen_length,specimen_length_units,length_type,specimen_length2,specimen_length2_units,length_type2,specimen_weight,specimen_weight2,weight_units,weight_type,marks_scars,visceral_adhesion,comments
IYS2022-TINRO-3-1-Trawl,,IYS2022-TINRO-3-1-Trawl-2,,IYS2022-TINRO-3-1-Trawl-2-1,Chin-1,Oncorhynchus tschawytscha,,Chinook Salmon,Oncorhynchus tshawytscha,urn:lsid:marinespecies.org:taxname:158075,immature,female,species,1,1,480,Millimeters,Fork Length,452,Millimeters,Standard length,1313,1227,Grams,Wet weight,S2DR,no,
IYS2022-TINRO-3-1-Trawl,,IYS2022-TINRO-3-1-Trawl-3,,IYS2022-TINRO-3-1-Trawl-3-2,Sock-1,Oncorhynchus nerka,,Sockeye Salmon,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,immature,male,species,1,1,438,Millimeters,Fork Length,410,Millimeters,Standard length,830,754,Grams,Wet weight,–,no,
IYS2022-TINRO-3-1-Trawl,,IYS2022-TINRO-3-1-Trawl-3,,IYS2022-TINRO-3-1-Trawl-3-3,Sock-2,Oncorhynchus nerka,,Sockeye Salmon,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,immature,female,species,1,1,396,Millimeters,Fork Length,375,Millimeters,Standard length,601,556,Grams,Wet weight,–,no,
IYS2022-TINRO-3-2-Trawl,,IYS2022-TINRO-3-2-Trawl-12,,IYS2022-TINRO-3-2-Trawl-12-4,Sock-3,Oncorhynchus nerka,,Sockeye Salmon,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,immature,female,species,1,1,364,Millimeters,Fork Length,342,Millimeters,Standard length,498,458,Grams,Wet weight,–,no,
IYS2022-TINRO-3-2-Trawl,,IYS2022-TINRO-3-2-Trawl-12,,IYS2022-TINRO-3-2-Trawl-12-5,Sock-4,Oncorhynchus nerka,,Sockeye Salmon,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,immature,female,species,1,1,433,Millimeters,Fork Length,408,Millimeters,Standard length,752,689,Grams,Wet weight,–,no,
IYS2022-TINRO-3-2-Trawl,,IYS2022-TINRO-3-2-Trawl-12,,IYS2022-TINRO-3-2-Trawl-12-6,Sock-5,Oncorhynchus nerka,,Sockeye Salmon,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,immature,male,species,1,1,454,Millimeters,Fork Length,428,Millimeters,Standard length,899,824,Grams,Wet weight,–,no,
IYS2022-TINRO-3-2-Trawl,,IYS2022-TINRO-3-2-Trawl-12,,IYS2022-TINRO-3-2-Trawl-12-7,Sock-6,Oncorhynchus nerka,,Sockeye Salmon,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,immature,male,species,1,1,408,Millimeters,Fork Length,386,Millimeters,Standard length,641,583,Grams,Wet weight,–,yes,
IYS2022-TINRO-3-2-Trawl,,IYS2022-TINRO-3-2-Trawl-12,,IYS2022-TINRO-3-2-Trawl-12-8,Sock-7,Oncorhynchus nerka,,Sockeye Salmon,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,immature,female,species,1,1,395,Millimeters,Fork Length,376,Millimeters,Standard length,650,601,Grams,Wet weight,–,no,
IYS2022-TINRO-3-2-Trawl,,IYS2022-TINRO-3-2-Trawl-12,,IYS2022-TINRO-3-2-Trawl-12-9,Sock-8,Oncorhynchus nerka,,Sockeye Salmon,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,immature,female,species,1,1,354,Millimeters,Fork Length,332,Millimeters,Standard length,405,,Grams,Wet weight,–,yes,
IYS2022-TINRO-3-2-Trawl,,IYS2022-TINRO-3-2-Trawl-12,,IYS2022-TINRO-3-2-Trawl-12-10,Sock-9,Oncorhynchus nerka,,Sockeye Salmon,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,immature,female,species,1,1,362,Millimeters,Fork Length,344,Millimeters,Standard length,453,426,Grams,Wet weight,–,no,
IYS2022-TINRO-3-2-Trawl,,IYS2022-TINRO-3-2-Trawl-12,,IYS2022-TINRO-3-2-Trawl-12-11,Sock-10,Oncorhynchus nerka,,Sockeye Salmon,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,immature,male,species,1,1,352,Millimeters,Fork Length,332,Millimeters,Standard length,364,314,Grams,Wet weight,–,no,
IYS2022-TINRO-3-2-Trawl,,IYS2022-TINRO-3-2-Trawl-12,,IYS2022-TINRO-3-2-Trawl-12-12,Sock-11,Oncorhynchus nerka,,Sockeye Salmon,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,immature,male,species,1,1,306,Millimeters,Fork Length,292,Millimeters,Standard length,285,272,Grams,Wet weight,–,no,
IYS2022-TINRO-3-2-Trawl,,IYS2022-TINRO-3-2-Trawl-11,,IYS2022-TINRO-3-2-Trawl-11-13,Coho-2,Oncorhynchus kisutch,,Coho Salmon,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,immature,male,species,1,1,346,Millimeters,Fork Length,324,Millimeters,Standard length,455,424,Grams,Wet weight,-,no,
IYS2022-TINRO-3-2-Trawl,,IYS2022-TINRO-3-2-Trawl-11,,IYS2022-TINRO-3-2-Trawl-11-14,Coho-3,Oncorhynchus kisutch,,Coho Salmon,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,immature,female,species,1,1,365,Millimeters,Fork Length,344,Millimeters,Standard length,560,519,Grams,Wet weight,-,no,
IYS2022-TINRO-3-2-Trawl,,IYS2022-TINRO-3-2-Trawl-11,,IYS2022-TINRO-3-2-Trawl-11-15,Coho-4,Oncorhynchus kisutch,,Coho Salmon,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,immature,male,species,1,1,335,Millimeters,Fork Length,313,Millimeters,Standard length,380,349,Grams,Wet weight,-,no,
IYS2022-TINRO-3-2-Trawl,,IYS2022-TINRO-3-2-Trawl-11,,IYS2022-TINRO-3-2-Trawl-11-16,Coho-5,Oncorhynchus kisutch,,Coho Salmon,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,immature,male,species,1,1,343,Millimeters,Fork Length,320,Millimeters,Standard length,452,408,Grams,Wet weight,-,no,
IYS2022-TINRO-3-2-Trawl,,IYS2022-TINRO-3-2-Trawl-10,,IYS2022-TINRO-3-2-Trawl-10-17,Pink-1,Oncorhynchus gorbuscha,,Pink Salmon,Oncorhynchus gorbuscha,urn:lsid:marinespecies.org:taxname:127182,juvenile,male,species,1,1,256,Millimeters,Fork Length,243,Millimeters,Standard length,129,117,Grams,Wet weight,-,no,
IYS2022-TINRO-3-3-Trawl,,IYS2022-TINRO-3-3-Trawl-15,,IYS2022-TINRO-3-3-Trawl-15-18,Pink-2,Oncorhynchus gorbuscha,,Pink Salmon,Oncorhynchus gorbuscha,urn:lsid:marinespecies.org:taxname:127182,juvenile,female,species,1,1,250,Millimeters,Fork Length,239,Millimeters,Standard length,122,109,Grams,Wet weight,-,no,
IYS2022-TINRO-3-3-Trawl,,IYS2022-TINRO-3-3-Trawl-16,,IYS2022-TINRO-3-3-Trawl-16-19,Chum-1,Oncorhynchus keta,,Chum Salmon,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,juvenile,male,species,1,1,219,Millimeters,Fork Length,207,Millimeters,Standard length,98,82,Grams,Wet weight,W1VL,no,
IYS2022-TINRO-3-3-Trawl,,IYS2022-TINRO-3-3-Trawl-17,,IYS2022-TINRO-3-3-Trawl-17-20,Chum-2,Oncorhynchus keta,,Chum Salmon,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,immature,male,species,1,1,342,Millimeters,Fork Length,326,Millimeters,Standard length,323,288,Grams,Wet weight,–,no,
IYS2022-TINRO-3-3-Trawl,,IYS2022-TINRO-3-3-Trawl-18,,IYS2022-TINRO-3-3-Trawl-18-21,Sock-12,Oncorhynchus nerka,,Sockeye Salmon,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,immature,female,species,1,1,438,Millimeters,Fork Length,414,Millimeters,Standard length,867,818,Grams,Wet weight,–,no,
