.

Clione limacina
Eucalanus bungii
Eukrohnia hamata
Neocalanus cristatus
Parasagitta elegans
Acartia longiremis
Calanus
Calocalanus styliremis
Candacia
Clausocalanus parapergens
Clausocalanus
Disconchoecia elegans
Heterostylites
Limacina helicina
Metridia pacifica
Metridia
Neocalanus
Oithona atlantica
Oithona similis
Oithona
Paracalanus indicus
Paracalanus parvus
Paracalanus
Paraeuchaeta
Pseudocalanus moultoni
Pseudocalanus newmani
Pseudocalanus
Racovitzanus antarcticus
Racovitzanus
Scolecithricella minor
Pseudosagitta scrippsae
Aglantha digitale
Euaugaptilus nodifrons
Euphausia pacifica
Oikopleura labradoriensis
Paraeuchaeta elongata
Streetsia challengeri
Thysanoessa longipes
Tomopteris septentrionalis
Alacia minor
Atlanta
Conchoecia spinirostris
Corycaeus anglicus
Ctenocalanus vanus
Eucalanus
Euchirella
Fritillaria borealis
Gaetanus intermedius
Gaetanus
Heterostylites longicornis
Lucicutia flavicornis
Mesocalanus
Mesocalanus tenucornis
Microcalanus pygmaeus
Oikopleura dioica
Pleuromamma
Scaphocalanus brevicaudatus
Tomopteris
Triconia conifera
Eusergestes similis
Cyphocaris challengeri
Thysanoessa inspinata
Aetideus divergens
Eusergestes
Heterostylites major
Pleuromamma scutullata
Aequorea victoria
Chelophyes appendiculata
Corolla spectabilis
Themisto pacifica
Ctenocalanus
Neocalanus plumchrus
Pseudocalanus mimus
Scocithricella minor
Phronima
Protomyctophum thompsoni
Stenobrachius leucopsarus
Aetideus
Calanus marshallae
Muggiae atlantica
Lucutia flavicornis
Microcalanus
Scocithricella
Spinocalanus brevicaudatus
Lensia baryi
Dimophyes arctica
Microcalanus pusillus
Clio pyramidata
Vibilia
Clio
Triconia ivlevi
Thysanoessa spinifera
Tarletonbeania crenularis
Primno abyssalis
Salpa aspera
Bradyidius similis
Clausocalanus arcuicornis
Lophothrix frontalis
Tessarabrachion occulatum
Scaphocalanus echinatus
Oikopleura
Pleuromamma quadrungulata
Clione
Aetideus pacificus
Nematocelis difficilis
Aegina citrea
Scaphocalanus magnus
Tuscaretta globulosa
Euchirella rostrata
Candacia columbiae
Heterorhabdus tanneri
Scina
Aglantha
Munida quadrispina
Arietellus plumifer
Nanomia bijuga
Periphylla periphylla
Heterorhabdus papilliger
Hyperia medusarum
Thysanoessa inermis
Chiridius gracilis
Heterorhabdus
Triconia
Microsetella rosea
Symbolophorous californiensis
Stylocheiron maximum
Pseudolubbockia dilatata
Triconia borealis
Euphausia pacficia
Thysanoessa lonipes
Coelodendrum
Bathylagus pacificus
Scolecithricella
Paraphronima crassipes
Bathylagus milleri
Primno pacifica
Pseudocalanus minutus
Lensia conoidea
Tessarabrachion oculatum
Aglama elegans
Hormiphora
Paraphronima gracilis
Rhynchonereella angellini
Calanus pacificus
Euchirella curticaudata
Sardinops sagax
Sebastes
Atlanta inflata
Carinaria japonica
Cliopsis krohnii
Psuedosagitta scrippsae
Calocalanus
Candacia bipinnata
Chiridius
Bathylagus ochotensis
Spinocalanus longicornis
Pleuromamma scutulata
Cancer
Chauliodus macouni
Cystisoma
Gaetanus minutus
Metridia curticaudata
Spinocalanus
Metridia curicaudata
Symbolophorus californiensis
Clio recurva
Calanoid A
Clytemnestra
Caesaromysis hispida
Lucicutia
Pseudocalanus styliremis
Pseudocalanus flavicornis
Pseudocalanus dioica
Pseudocalanus atlantica
Clupea pallasi
Oithona spinirostris
Euchaeta elongata
Ostracoda
Parathemisto pacifica
Euphausiidae
Polychaeta
Gastropoda
Sagitta elegans
Siphonophorae
Cnidaria
Pisces
Aetideidae
Primno macropa
Zoanthidea
Sergestes
Gaetanus simplex
Mesocalanus tenuicornis
Isopoda
Phronima sedentaria
Hyperia
Gaidius
Sagitta scrippsae
Aegina
Chionoecetes
Bryozoa
Teuthida
Narcomedusae
Echinospira
Fritillaria
Nemertina
Scolecithricella ovata
Pasiphaea pacifica
Octopus
Scinidae
Conchoecia
Euphausiacea
Metridia okhotensis
Neocalanus flemingeri
Alciopidae
Harpacticoida
Acartia
Euchaeta media
Oncaea
Sergestidae
Caridea
Myctophidae
Acartia danae
Doliolidae
Lubbockia wilsonae
Scaphocalanus
Aegina rosea
Pleuromamma abdominalis
Pandalidae
Sergestes similis
Mecynocera clausi
Nematoscelis
Pareucalanus parki
